OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,184770,44163.26
39-6012,Concierges,detailed,62610,33536.05
19-1031,Conservation Scientists,detailed,42040,69997.85
47-4011,Construction and Building Inspectors,detailed,238550,66190.57
47-2061,Construction Laborers,detailed,3015760,41858.28
Nov-21,Construction Managers,detailed,835820,106988
47-5041,Continuous Mining Machine Operators,detailed,32240,51964.95
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,77230,63175.31
53-7011,Conveyor Operators and Tenders,detailed,56530,38215.68
35-2011,"Cooks, Fast Food",detailed,2311190,26822.11
35-2012,"Cooks, Institution and Cafeteria",detailed,1009520,32486.55
35-2013,"Cooks, Private Household",detailed,390,35991.67
35-2014,"Cooks, Restaurant",detailed,4493450,32263.53
35-2015,"Cooks, Short Order",detailed,351580,28811.24
51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,17650,43194.42
33-3012,Correctional Officers and Jailers,detailed,793570,49718.55
43-4021,Correspondence Clerks,detailed,8650,42060.83
13-1051,Cost Estimators,detailed,622910,70249.05
39-3092,Costume Attendants,detailed,4310,45493.62
21-1014,"Counselors, All Other",detailed,70550,51112.58
41-2021,Counter and Rental Clerks,detailed,964870,35224.58
43-5021,Couriers and Messengers,detailed,141710,32007.1
23-2091,Court Reporters and Simultaneous Captioners,detailed,25300,59317.52
43-4031,"Court, Municipal, and License Clerks",detailed,296570,41544.44
27-1012,Craft Artists,detailed,2970,38779.29
53-7021,Crane and Tower Operators,detailed,86010,60463.99
13-2041,Credit Analysts,detailed,170190,77918.1
43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,29440,45479.36
13-2071,Credit Counselors,detailed,52680,51392.46
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,26670,68776.97
33-9091,Crossing Guards and Flaggers,detailed,183320,35969.06
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,62470,41586.77
25-4012,Curators,detailed,17240,61391.97
43-4051,Customer Service Representatives,detailed,7806060,39758.25
51-9031,"Cutters and Trimmers, Hand",detailed,10850,34225.74
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,121410,39117.17
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,504980,38480.81
27-2031,Dancers,detailed,5080,0
43-9021,Data Entry Keyers,detailed,309840,35858.41
15-1141,Database Administrators,detailed,162570,93527.86
41-9011,Demonstrators and Product Promoters,detailed,77590,35139.7
31-9091,Dental Assistants,detailed,1021320,42384.88
29-2021,Dental Hygienists,detailed,605890,77044.79
51-9081,Dental Laboratory Technicians,detailed,95000,46514.83
29-1021,"Dentists, General",detailed,309350,164285.13
47-5011,"Derrick Operators, Oil and Gas",detailed,11960,57467.5
43-9031,Desktop Publishers,detailed,5720,51075.95
33-3021,Detectives and Criminal Investigators,detailed,213120,86545.87
29-2032,Diagnostic Medical Sonographers,detailed,228220,78501.99
29-2051,Dietetic Technicians,detailed,54210,32883.43
29-1031,Dietitians and Nutritionists,detailed,160960,63434.62
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,1134910,27460.85
21-2021,"Directors, Religious Activities and Education",detailed,54280,56223.89
35-9021,Dishwashers,detailed,1361000,27360.92
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,452060,44628.8
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,11430,34995.48
53-7031,Dredge Operators,detailed,1830,45890.4
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,11050,42994.77
53-3031,Driver/Sales Workers,detailed,1351980,35467.98
47-2081,Drywall and Ceiling Tile Installers,detailed,355230,47682.58
47-5021,"Earth Drillers, Except Oil and Gas",detailed,31730,52800.68
25-1063,"Economics Teachers, Postsecondary",detailed,22810,114671.36
19-3011,Economists,detailed,20530,113262.38
27-3041,Editors,detailed,227420,68798.92
Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,546130,94609.84
Nov-33,"Education Administrators, Postsecondary",detailed,311520,105998.3
Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,153730,56751.01
